name_x,name_y,CoInvestments
,AKVaganza_Unternehmergesellschaft_,1
,Cherry_Ventures_,1
,La_Plata_,1
,Manoa_Ventures_,1
10x_Founders_,Florian_Huber_Beteiligungen_,1
10x_Founders_,HV_Holtzbrinck_Ventures_,1
10x_Founders_,Mercutio_,1
10x_Founders_,Pausder_Ventures_,1
10x_Founders_,ROMM_Holding_,1
10x_Founders_,Roskopf_Ventures_,1
AENU_,ARES_CAPITAL_ADVISERS_,1
AENU_,Aurum_Impact_Invest_,1
AENU_,Kupke_,1
AENU_,Pausder_Ventures_,1
AENU_,Vesta_Venture_Holding_,1
AKVaganza_Unternehmergesellschaft_,,1
AKVaganza_Unternehmergesellschaft_,Cherry_Ventures_,1
AKVaganza_Unternehmergesellschaft_,Entrepreneur_First_Operations_Limited,1
AKVaganza_Unternehmergesellschaft_,La_Plata_,1
AKVaganza_Unternehmergesellschaft_,Manoa_Ventures_,1
AKVaganza_Unternehmergesellschaft_,Tiny_,1
ARES_CAPITAL_ADVISERS_,AENU_,1
ARES_CAPITAL_ADVISERS_,Aurum_Impact_Invest_,1
ARES_CAPITAL_ADVISERS_,Meinhardt_Ventures__,1
ARES_CAPITAL_ADVISERS_,Vesta_Venture_Holding_,1
Alexander_Ludwig_Friedrich_Christian_Fuchs,Dr._Alfred_Heinrich_Georg_Spieker,2
Alvio_,DSH_Ventures_,1
Alvio_,DSR_Ventures_,1
Alvio_,Fleetblick_Ventures__,1
Alvio_,HV_Holtzbrinck_Ventures_,1
Alvio_,La_Plata_,1
Alvio_,Lino_,2
Alvio_,Manoa_Ventures_,1
Alvio_,Mercutio_,1
Alvio_,OyFri_,2
Alvio_,PK_Projects_,3
Alvio_,Pausder_Ventures_,1
Alvio_,Picus_Capital_,1
Alvio_,ROMM_Holding_,2
Alvio_,Roskopf_Ventures_,2
Alvio_,Sebastian_Schuon_Investments_,1
Alvio_,Tiny_,1
Alvio_,WEFA_,2
Aurum_Impact_Invest_,AENU_,1
Aurum_Impact_Invest_,ARES_CAPITAL_ADVISERS_,1
Aurum_Impact_Invest_,Vesta_Venture_Holding_,1
Charles_Songhurst,Cherry_Ventures_,1
Charles_Songhurst,MH2_Capital_,1
Charles_Songhurst,Rivus_Ventures_,1
Charles_Songhurst,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
Cherry_Ventures_,,1
Cherry_Ventures_,AKVaganza_Unternehmergesellschaft_,1
Cherry_Ventures_,Charles_Songhurst,1
Cherry_Ventures_,La_Plata_,1
Cherry_Ventures_,MH2_Capital_,1
Cherry_Ventures_,Manoa_Ventures_,1
Cherry_Ventures_,Pink_Capital_,1
Cherry_Ventures_,Rivus_Ventures_,1
Cherry_Ventures_,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
DSH_Ventures_,Alvio_,1
DSH_Ventures_,Fleetblick_Ventures__,2
DSH_Ventures_,Florian_Huber_Beteiligungen_,1
DSH_Ventures_,OyFri_,1
DSH_Ventures_,PK_Projects_,1
DSH_Ventures_,Pausder_Ventures_,2
DSH_Ventures_,ROMM_Holding_,1
DSH_Ventures_,Roskopf_Ventures_,1
DSH_Ventures_,Tiny_,1
DSH_Ventures_,WEFA_,1
DSR_Ventures_,Alvio_,1
DSR_Ventures_,HV_Holtzbrinck_Ventures_,2
DSR_Ventures_,La_Plata_,1
DSR_Ventures_,Lino_,1
DSR_Ventures_,Manoa_Ventures_,1
DSR_Ventures_,Mercutio_,1
DSR_Ventures_,OyFri_,1
DSR_Ventures_,PK_Projects_,1
DSR_Ventures_,Picus_Capital_,1
DSR_Ventures_,ROMM_Holding_,1
DSR_Ventures_,Roskopf_Ventures_,1
DSR_Ventures_,Sebastian_Schuon_Investments_,1
DSR_Ventures_,WEFA_,1
Dr._Alfred_Heinrich_Georg_Spieker,Alexander_Ludwig_Friedrich_Christian_Fuchs,2
Entrepreneur_First_Operations_Limited,AKVaganza_Unternehmergesellschaft_,1
Entrepreneur_First_Operations_Limited,Tiny_,1
Fleetblick_Ventures__,Alvio_,1
Fleetblick_Ventures__,DSH_Ventures_,2
Fleetblick_Ventures__,Florian_Huber_Beteiligungen_,1
Fleetblick_Ventures__,OyFri_,1
Fleetblick_Ventures__,PK_Projects_,1
Fleetblick_Ventures__,Pausder_Ventures_,2
Fleetblick_Ventures__,ROMM_Holding_,1
Fleetblick_Ventures__,Roskopf_Ventures_,1
Fleetblick_Ventures__,Tiny_,1
Fleetblick_Ventures__,WEFA_,1
Florian_Huber_Beteiligungen_,10x_Founders_,1
Florian_Huber_Beteiligungen_,DSH_Ventures_,1
Florian_Huber_Beteiligungen_,Fleetblick_Ventures__,1
Florian_Huber_Beteiligungen_,Mercutio_,1
Florian_Huber_Beteiligungen_,Pausder_Ventures_,1
Florian_Huber_Beteiligungen_,ROMM_Holding_,1
Florian_Huber_Beteiligungen_,Roskopf_Ventures_,1
HV_Holtzbrinck_Ventures_,10x_Founders_,1
HV_Holtzbrinck_Ventures_,Alvio_,1
HV_Holtzbrinck_Ventures_,DSR_Ventures_,2
HV_Holtzbrinck_Ventures_,La_Plata_,1
HV_Holtzbrinck_Ventures_,Lino_,1
HV_Holtzbrinck_Ventures_,Manoa_Ventures_,1
HV_Holtzbrinck_Ventures_,Mercutio_,1
HV_Holtzbrinck_Ventures_,Next47_,3
HV_Holtzbrinck_Ventures_,OyFri_,1
HV_Holtzbrinck_Ventures_,PK_Projects_,1
HV_Holtzbrinck_Ventures_,Pausder_Ventures_,1
HV_Holtzbrinck_Ventures_,ROMM_Holding_,1
HV_Holtzbrinck_Ventures_,Roskopf_Ventures_,1
HV_Holtzbrinck_Ventures_,WEFA_,1
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Ashok_Varadharajan,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Gopi_Kannappan,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Saravanan_Jaichandaran,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Vijay_Pravin_Maharajan,2
Herr_Ashok_Varadharajan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Ashok_Varadharajan,Herr_Gopi_Kannappan,2
Herr_Ashok_Varadharajan,Herr_Saravanan_Jaichandaran,2
Herr_Ashok_Varadharajan,Herr_Vijay_Pravin_Maharajan,2
Herr_Gopi_Kannappan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Gopi_Kannappan,Herr_Ashok_Varadharajan,2
Herr_Gopi_Kannappan,Herr_Saravanan_Jaichandaran,2
Herr_Gopi_Kannappan,Herr_Vijay_Pravin_Maharajan,2
Herr_Saravanan_Jaichandaran,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Saravanan_Jaichandaran,Herr_Ashok_Varadharajan,2
Herr_Saravanan_Jaichandaran,Herr_Gopi_Kannappan,2
Herr_Saravanan_Jaichandaran,Herr_Vijay_Pravin_Maharajan,2
Herr_Vijay_Pravin_Maharajan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Vijay_Pravin_Maharajan,Herr_Ashok_Varadharajan,2
Herr_Vijay_Pravin_Maharajan,Herr_Gopi_Kannappan,2
Herr_Vijay_Pravin_Maharajan,Herr_Saravanan_Jaichandaran,2
Kupke_,AENU_,1
Kupke_,Pausder_Ventures_,1
La_Plata_,,1
La_Plata_,AKVaganza_Unternehmergesellschaft_,1
La_Plata_,Alvio_,1
La_Plata_,Cherry_Ventures_,1
La_Plata_,DSR_Ventures_,1
La_Plata_,HV_Holtzbrinck_Ventures_,1
La_Plata_,Lino_,1
La_Plata_,Manoa_Ventures_,2
La_Plata_,Mercutio_,1
La_Plata_,OyFri_,1
La_Plata_,PK_Projects_,1
La_Plata_,ROMM_Holding_,1
La_Plata_,Roskopf_Ventures_,1
La_Plata_,WEFA_,1
Lino_,Alvio_,2
Lino_,DSR_Ventures_,1
Lino_,HV_Holtzbrinck_Ventures_,1
Lino_,La_Plata_,1
Lino_,Manoa_Ventures_,1
Lino_,Mercutio_,1
Lino_,OyFri_,1
Lino_,PK_Projects_,2
Lino_,ROMM_Holding_,1
Lino_,Roskopf_Ventures_,1
Lino_,Sebastian_Schuon_Investments_,1
Lino_,WEFA_,1
MH2_Capital_,Charles_Songhurst,1
MH2_Capital_,Cherry_Ventures_,1
MH2_Capital_,Rivus_Ventures_,1
MH2_Capital_,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
Manoa_Ventures_,,1
Manoa_Ventures_,AKVaganza_Unternehmergesellschaft_,1
Manoa_Ventures_,Alvio_,1
Manoa_Ventures_,Cherry_Ventures_,1
Manoa_Ventures_,DSR_Ventures_,1
Manoa_Ventures_,HV_Holtzbrinck_Ventures_,1
Manoa_Ventures_,La_Plata_,2
Manoa_Ventures_,Lino_,1
Manoa_Ventures_,Mercutio_,1
Manoa_Ventures_,OyFri_,1
Manoa_Ventures_,PK_Projects_,1
Manoa_Ventures_,ROMM_Holding_,1
Manoa_Ventures_,Roskopf_Ventures_,1
Manoa_Ventures_,WEFA_,1
Meinhardt_Ventures__,ARES_CAPITAL_ADVISERS_,1
Mercutio_,10x_Founders_,1
Mercutio_,Alvio_,1
Mercutio_,DSR_Ventures_,1
Mercutio_,Florian_Huber_Beteiligungen_,1
Mercutio_,HV_Holtzbrinck_Ventures_,1
Mercutio_,La_Plata_,1
Mercutio_,Lino_,1
Mercutio_,Manoa_Ventures_,1
Mercutio_,OyFri_,1
Mercutio_,PK_Projects_,1
Mercutio_,ROMM_Holding_,2
Mercutio_,Roskopf_Ventures_,2
Mercutio_,WEFA_,1
Next47_,HV_Holtzbrinck_Ventures_,3
OyFri_,Alvio_,2
OyFri_,DSH_Ventures_,1
OyFri_,DSR_Ventures_,1
OyFri_,Fleetblick_Ventures__,1
OyFri_,HV_Holtzbrinck_Ventures_,1
OyFri_,La_Plata_,1
OyFri_,Lino_,1
OyFri_,Manoa_Ventures_,1
OyFri_,Mercutio_,1
OyFri_,PK_Projects_,2
OyFri_,Pausder_Ventures_,1
OyFri_,ROMM_Holding_,2
OyFri_,Roskopf_Ventures_,2
OyFri_,Tiny_,1
OyFri_,WEFA_,2
PK_Projects_,Alvio_,3
PK_Projects_,DSH_Ventures_,1
PK_Projects_,DSR_Ventures_,1
PK_Projects_,Fleetblick_Ventures__,1
PK_Projects_,HV_Holtzbrinck_Ventures_,1
PK_Projects_,La_Plata_,1
PK_Projects_,Lino_,2
PK_Projects_,Manoa_Ventures_,1
PK_Projects_,Mercutio_,1
PK_Projects_,OyFri_,2
PK_Projects_,Pausder_Ventures_,1
PK_Projects_,ROMM_Holding_,2
PK_Projects_,Roskopf_Ventures_,2
PK_Projects_,Sebastian_Schuon_Investments_,1
PK_Projects_,Tiny_,1
PK_Projects_,WEFA_,2
Pausder_Ventures_,10x_Founders_,1
Pausder_Ventures_,AENU_,1
Pausder_Ventures_,Alvio_,1
Pausder_Ventures_,DSH_Ventures_,2
Pausder_Ventures_,Fleetblick_Ventures__,2
Pausder_Ventures_,Florian_Huber_Beteiligungen_,1
Pausder_Ventures_,HV_Holtzbrinck_Ventures_,1
Pausder_Ventures_,Kupke_,1
Pausder_Ventures_,OyFri_,1
Pausder_Ventures_,PK_Projects_,1
Pausder_Ventures_,ROMM_Holding_,1
Pausder_Ventures_,Roskopf_Ventures_,1
Pausder_Ventures_,Tiny_,1
Pausder_Ventures_,WEFA_,1
Picus_Capital_,Alvio_,1
Picus_Capital_,DSR_Ventures_,1
Picus_Capital_,Sebastian_Schuon_Investments_,1
Pink_Capital_,Cherry_Ventures_,1
ROMM_Holding_,10x_Founders_,1
ROMM_Holding_,Alvio_,2
ROMM_Holding_,DSH_Ventures_,1
ROMM_Holding_,DSR_Ventures_,1
ROMM_Holding_,Fleetblick_Ventures__,1
ROMM_Holding_,Florian_Huber_Beteiligungen_,1
ROMM_Holding_,HV_Holtzbrinck_Ventures_,1
ROMM_Holding_,La_Plata_,1
ROMM_Holding_,Lino_,1
ROMM_Holding_,Manoa_Ventures_,1
ROMM_Holding_,Mercutio_,2
ROMM_Holding_,OyFri_,2
ROMM_Holding_,PK_Projects_,2
ROMM_Holding_,Pausder_Ventures_,1
ROMM_Holding_,Roskopf_Ventures_,3
ROMM_Holding_,Tiny_,1
ROMM_Holding_,WEFA_,2
Rivus_Ventures_,Charles_Songhurst,1
Rivus_Ventures_,Cherry_Ventures_,1
Rivus_Ventures_,MH2_Capital_,1
Rivus_Ventures_,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
Roskopf_Ventures_,10x_Founders_,1
Roskopf_Ventures_,Alvio_,2
Roskopf_Ventures_,DSH_Ventures_,1
Roskopf_Ventures_,DSR_Ventures_,1
Roskopf_Ventures_,Fleetblick_Ventures__,1
Roskopf_Ventures_,Florian_Huber_Beteiligungen_,1
Roskopf_Ventures_,HV_Holtzbrinck_Ventures_,1
Roskopf_Ventures_,La_Plata_,1
Roskopf_Ventures_,Lino_,1
Roskopf_Ventures_,Manoa_Ventures_,1
Roskopf_Ventures_,Mercutio_,2
Roskopf_Ventures_,OyFri_,2
Roskopf_Ventures_,PK_Projects_,2
Roskopf_Ventures_,Pausder_Ventures_,1
Roskopf_Ventures_,ROMM_Holding_,3
Roskopf_Ventures_,Tiny_,1
Roskopf_Ventures_,WEFA_,2
Sebastian_Schuon_Investments_,Alvio_,1
Sebastian_Schuon_Investments_,DSR_Ventures_,1
Sebastian_Schuon_Investments_,Lino_,1
Sebastian_Schuon_Investments_,PK_Projects_,1
Sebastian_Schuon_Investments_,Picus_Capital_,1
SixVenture_,Vereinigte_Volksbank_Raiffeisenbank_eG,1
Tiny_,AKVaganza_Unternehmergesellschaft_,1
Tiny_,Alvio_,1
Tiny_,DSH_Ventures_,1
Tiny_,Entrepreneur_First_Operations_Limited,1
Tiny_,Fleetblick_Ventures__,1
Tiny_,OyFri_,1
Tiny_,PK_Projects_,1
Tiny_,Pausder_Ventures_,1
Tiny_,ROMM_Holding_,1
Tiny_,Roskopf_Ventures_,1
Tiny_,WEFA_,1
Vereinigte_Volksbank_Raiffeisenbank_eG,SixVenture_,1
Vesta_Venture_Holding_,AENU_,1
Vesta_Venture_Holding_,ARES_CAPITAL_ADVISERS_,1
Vesta_Venture_Holding_,Aurum_Impact_Invest_,1
Vesta_Venture_Holding_,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
WEFA_,Alvio_,2
WEFA_,DSH_Ventures_,1
WEFA_,DSR_Ventures_,1
WEFA_,Fleetblick_Ventures__,1
WEFA_,HV_Holtzbrinck_Ventures_,1
WEFA_,La_Plata_,1
WEFA_,Lino_,1
WEFA_,Manoa_Ventures_,1
WEFA_,Mercutio_,1
WEFA_,OyFri_,2
WEFA_,PK_Projects_,2
WEFA_,Pausder_Ventures_,1
WEFA_,ROMM_Holding_,2
WEFA_,Roskopf_Ventures_,2
WEFA_,Tiny_,1
"btov_Digital_Technologies_II_S.C.S.,_SICAR",Charles_Songhurst,1
"btov_Digital_Technologies_II_S.C.S.,_SICAR",Cherry_Ventures_,1
"btov_Digital_Technologies_II_S.C.S.,_SICAR",MH2_Capital_,1
"btov_Digital_Technologies_II_S.C.S.,_SICAR",Rivus_Ventures_,1
"btov_Digital_Technologies_II_S.C.S.,_SICAR",Vesta_Venture_Holding_,1
