,shareholder_location
berlin,713
münchen,449
hamburg,228
köln,119
stuttgart,99
düsseldorf,98
frankfurt am main,73
dresden,44
mannheim,43
bonn,43
hannover,41
nürnberg,40
ulm,34
aachen,28
braunschweig,25
osnabrück,25
potsdam,24
essen,23
frankfurt,19
lübeck,19
leipzig,17
münster,17
wiesbaden,14
zürich,14
zug,14
augsburg,13
arnsberg,13
bochum,13
traunstein,13
koblenz,13
london,12
kiel,12
darmstadt,12
mainz,12
wuppertal,12
regensburg,10
offenbach am main,10
bremen,10
siegburg,10
freiburg im breisgau,9
würzburg,9
karlsruhe,9
bergisch gladbach,9
fürth,8
königstein,8
duisburg,8
lüneburg,8
bielefeld,8
landshut,8
oldenburg,8
schwerin,8
dortmund,8
ingolstadt,7
königstein im taunus,7
neuss,7
cottbus,7
saarbrücken,7
walsrode,6
 freiberg,6
jena,6
bad homburg,6
erfurt,6
pinneberg,6
laaber,6
kaiserslautern,6
munsbach luxemburg,6
kleve,5
hanau,5
offenbach,5
eindhoven,5
hamm,5
paderborn,5
weiden,5
siegen,5
rostock,5
steinfurt,5
gütersloh,5
bad homburg v. d. höhe,4
 poing,4
wittlich,4
bad kreuznach,4
bad hersfeld,4
brandenburg a. d. havel,4
oberhausen,4
thierhaupten,4
magdeburg,4
flensburg,4
göttingen,4
kassel,4
registre de commerce et des sociétés,4
m\ufcnchen,4
delaware,4
bad homburg v.d.h.,3
guern- sey registry,3
chemnitz,3
coesfeld,3
halstenbek,3
 berlin,3
"zürich, schweiz",3
registre de commerce et des sociétés luxembourg,3
posen / polen,3
heidelberg,3
schwedisches handelsregister,3
mauritius,3
frankfurt (oder),3
tittmoning,3
 nürtingen,3
memmingen,3
neuruppin,3
amsterdam,3
paris,3
lemgo,3
steinheim an der murr,3
bad wimpfen,3
mönchengladbach,3
passau,3
herzberg am harz,3
neubrandenburg,3
gießen,3
aschaffenburg,3
offenbach/main,3
bad oeynhausen,3
ebene (republik mauritius),2
venlo,2
kanton obwalden,2
neubiberg unterbiberg,2
fuchsmühl,2
eppstein,2
bensheim,2
riesa,2
lorsch,2
esens,2
stolzenau,2
wohratal,2
hofheim,2
giessen,2
sindelfingen,2
hamilton,2
achern,2
herzogenaurach,2
ludwigshafen am rhein,2
recklinghausen,2
stendal,2
aschau im chiemgau,2
herrliberg,2
frechen,2
senningerberg,2
charlottenburg hrb  b,2
wien,2
division corporations the state delaware,2
schwyz,2
company register austria,2
gmund a. tegernsee,2
sankt augustin,2
oborniki / polen,2
texas,2
herrenberg,2
 würzburg,2
bad salzungen,2
menden,2
 aachen,2
brunsbuttel,2
"caesarea, israel",2
eppingen,2
kelberg,2
glinde,2
division corporations delaware,2
"grünwald, landkreis münchen",2
friedrichsdorf/taunus,2
schaan,2
istanbul,2
 dorsten,2
oxford,2
"wien, österreich",2
putbus,2
waltrop,2
witten,2
ravensburg,2
lauf a. d. pegnitz,2
"undine, italien/italy",2
"london, uk",2
 bukarest,2
rüsselsheim am main,2
"boulder, co  (usa)",2
 eurasburg,2
 königsdorf,2
herborn,2
pullach,2
"austin, texas",2
london (vereinigtes königreich),2
wenke,2
blaubeuren,2
malmö,2
registre de commerce et des sociétés luxemburg,2
woluwe-saint-lambert,2
ubstadt-weiher,2
aichwald-aichsschieß,2
bruchkã¶bel,2
"konradstraße ,  münchen",2
hof,2
basel-stadt,2
neckargemünd,2
k\ufln,2
handelsregisteramt des kantons zürich,2
commercial register kanton schwyz,2
luxembourg,2
division corporation des staates delaware,2
stadtbergen,2
kreuzlingen,2
bovenden,2
hambühren,2
von luxemburg,2
stapelfeld,2
ch-baar,2
kronberg /ts.,2
bad lippspringe,2
"baunatal, landkreis kassel",2
elsenfeld,2
neukirchen/erzgeb.,2
leverkusen,2
von schweden (bolagsverket),2
owingen,2
rotenburg,2
weinstadt,2
coburg,2
buxtehude,2
stockholm,2
"pöcking, landkreis starnberg",2
hilden,2
gundelfingen,2
langenfeld,2
schwanstetten,2
 münchen,2
firmenbuch von wien,2
veenendaal,2
kempten,2
vilshofen an der donau,2
krefeld,2
 lörrach,2
mülheim an der ruhr,2
norderstedt,2
weiden i.d.opf.,2
friedberg,2
erkrath,1
companies house,1
 trier,1
registrar companies for scotland,1
"altendorf, switzerland",1
helsinki,1
esslingen,1
 rostock,1
planegg,1
"meilen, switzerland",1
"tsim sha tsui, hong kong",1
firmenbuch des hr wien,1
corporations division the state delaware,1
palo alto,1
"in der aue ,  düsseldorf",1
schwäbisch hall,1
singen,1
roßhaupten,1
neu wulmstorf,1
hammelburg,1
vogtsburg/oberrotweil,1
" seefeld, gut delling, mühle ",1
senden,1
großenwiehe,1
handels- und gesellschaftsregister luxemburg,1
 wilhelmshaven,1
 kleve,1
ludwigshafen,1
companies registration office,1
bad soden am taunus,1
schöneck,1
rechberghausen,1
 stuttgart,1
birkenwerder,1
taufkirchen,1
haßloch,1
kiefersfelden,1
"albrechtstr. ,  bremen",1
heiligenberg,1
- poznan,1
menslage,1
nidderau,1
markdorf,1
ilshofen,1
partnerschaftsregister von guernsey,1
sulzberg,1
brühl,1
otterfing,1
emmendingen,1
rottweil,1
mountain view,1
deggendorf,1
kirchseeon,1
oberried,1
secretary state the state delaware,1
egling,1
kromen,1
reichenbach,1
gummersbach,1
benningen am neckar,1
 gräfelfing,1
gauting,1
jagstzell,1
delaware division corporations,1
ludwigsburg,1
"baar, schweiz",1
colorado,1
der niederlande (kamer von koophandel),1
pfeffingen,1
registergericht: aachen,1
spanisches handelsregister,1
" berlin, eisenacher straße  a",1
"lewes, delaware",1
munsbach,1
eschwege,1
waldbreitbach,1
naunhof,1
talheim,1
secretary state,1
registrar limited partnerships der kaimaninseln,1
registrar companies for england and wales,1
weiterstadt,1
guernsey,1
bayreuth,1
kleinmachnow,1
secretary state delaware,1
ansbach,1
essenheim,1
hildesheim,1
erlangen,1
meilen/schweiz,1
bamberg,1
hagen,1
gelsenkirchen,1
acra singapore,1
korbach,1
luxemburg,1
registro mercantil de madrid,1
stadthagen,1
b berlin,1
amberg,1
frankfurt/main,1
tostedt,1
guernsey registry,1
"registry companies, cayman islands",1
filderstadt,1
merseburg,1
sprockhövel,1
"sitz: nevada/usa; p.o. box , zephyr cove, nevada , usa",1
commercial register the canton zug,1
silema,1
haar,1
bruck,1
hájkova   praha ,1
london (gbr),1
unterhaching,1
fn  g,1
 darmstadt,1
niemetal-ellershausen,1
bammental,1
meerbusch,1
buchrain / schweiz,1
"strassen, luxemburg",1
prien a. chiemsee,1
trebbin,1
berlin charlottenburg,1
aadorf,1
company register the state delaware,1
"kopenhagen, dänemark",1
unterföhring,1
oftersheim,1
wenden,1
" rue lou hemmer,  luxemburg",1
gröbenzell,1
wüstenrot,1
kostheim,1
landau,1
monaco,1
stralsund,1
winsen (luhe),1
register für limited partnerships unter,1
 dresden,1
molfsee,1
schneverdingen,1
