startup_location;count
Berlin;2357
München;824
Hamburg;757
Köln;318
Düsseldorf;248
Frankfurt am Main;241
Stuttgart;184
Karlsruhe;126
Dresden;126
Aachen;104
Hannover;103
Leipzig;95
Mannheim;78
Nürnberg;76
Potsdam;71
Münster;67
Darmstadt;64
Bremen;64
Heidelberg;63
Bonn;62
Dortmund;55
Freiburg im Breisgau;55
Mainz;50
Essen;50
Bochum;45
Kiel;42
Augsburg;40
Grünwald;39
Saarbrücken;35
Bielefeld;34
Braunschweig;33
Jena;33
Wiesbaden;33
Regensburg;31
Paderborn;31
Würzburg;30
Ulm;27
Chemnitz;27
Wuppertal;27
Magdeburg;27
Göttingen;26
Erlangen;26
Fürth;24
Konstanz;23
Osnabrück;22
Rostock;21
Tübingen;19
Oldenburg;19
Krefeld;18
Bad Homburg v. d. Höhe;17
Planegg;17
Gräfelfing;17
Ludwigsburg;17
Halle (Saale);17
Mönchengladbach;17
Lübeck;16
Ingolstadt;16
Kaiserslautern;15
Siegen;15
Garching b.München;15
Gilching;14
Offenburg;14
Mülheim an der Ruhr;13
Bergisch Gladbach;13
Koblenz;13
Duisburg;13
Solingen;13
Ismaning;13
Gießen;13
Taufkirchen;12
Unterföhring;12
Monheim am Rhein;12
Trier;12
Heilbronn;12
Leverkusen;12
Ratingen;12
Langenfeld;12
Cottbus;12
Meerbusch;11
Erfurt;11
Ettlingen;11
Kassel;11
Kempten (Allgäu);11
Ilmenau;10
Leinfelden-Echterdingen;10
Germering;10
Rosenheim;10
Aalen;9
Reutlingen;9
Offenbach am Main;9
Bruchsal;9
Freising;9
Wildau;9
Flensburg;9
Eschborn;9
Bayreuth;9
Willich;9
Unterhaching;8
Starnberg;8
Kronberg im Taunus;8
Esslingen am Neckar;8
Neuss;8
Hildesheim;8
Aschaffenburg;8
Herzogenrath;8
Ostfildern;8
Bocholt;8
Fulda;8
Hilden;7
Lüneburg;7
Herrsching a.Ammersee;7
Bad Soden am Taunus;7
Böblingen;7
Norderstedt;7
Recklinghausen;7
Pforzheim;7
Teltow;7
Herford;7
Freiberg;7
Greifswald;6
Kirchheim unter Teck;6
Pullach i.Isartal;6
Bamberg;6
Kempen;6
Isernhagen;6
Leonberg;6
Baden-Baden;6
Neu-Ulm;6
Hamm;6
Haar;6
Falkensee;6
Holzkirchen;6
Großostheim;6
Deggendorf;6
Hürth;6
Schönefeld;6
Kleinmachnow;6
Dachau;6
Wesel;5
Walldorf;5
Kulmbach;5
Düren;5
Bensheim;5
Iserlohn;5
Pulheim;5
Inning a.Ammersee;5
Erkrath;5
Amberg;5
Lohmar;5
Radebeul;5
Witten;5
Schwerin;5
Homburg;5
Minden;5
Berg;5
Villingen-Schwenningen;5
Königstein im Taunus;5
Gütersloh;5
Hof;5
Sindelfingen;5
Gelsenkirchen;5
Bad Vilbel;5
Wolfratshausen;5
Hennigsdorf;5
Neu-Isenburg;5
Mettmann;5
Alzenau;5
Weßling;5
Oberhausen;5
Troisdorf;5
Worms;5
Herrenberg;5
Haltern am See;5
Siegburg;5
Poing;5
Bad Honnef;5
Weiden i.d.OPf;5
Idstein;5
Arnsberg;5
St. Wendel;5
Tettnang;5
Straßlach-Dingharting;4
Lippstadt;4
Horb am Neckar;4
Großwallstadt;4
Oberhaching;4
Frechen;4
Friedrichshafen;4
Schwäbisch Gmünd;4
Pöcking;4
Bergheim;4
Hann. Münden;4
Coburg;4
Wedel;4
Weil der Stadt;4
Brühl;4
Leingarten;4
Castrop-Rauxel;4
Dieburg;4
Singen Hohentwiel;4
Groß-Umstadt;4
Putzbrunn;4
Marburg;4
Hagenbach;4
Oranienburg;4
Sauerlach;4
Kelheim;4
Lorch;4
Neuried;4
Königswinter;4
Hofheim am Taunus;4
Rösrath;4
Leer;4
Sankt Augustin;4
Gröbenzell;4
Olching;4
Straubing;4
Roetgen;4
Nordhorn;4
Weiterstadt;4
Schweinfurt;4
Trebbin;4
Zossen;4
Altenberge;4
Langenhagen;4
Neubiberg;4
Rheinfelden Baden;4
Ludwigshafen am Rhein;4
Nürtingen;4
Garbsen;4
Planegg-Martinsried;4
Kirchheim b.München;4
Hameln;4
Baierbrunn;4
Lüdenscheid;4
Kleve;4
Landsberg am Lech;4
Ludwigshafen;4
Grasbrunn;4
Fellbach;4
Eberswalde;4
Weimar;4
Leutenbach;3
Zirndorf;3
Plauen;3
Dossenheim;3
Kelkheim (Taunus);3
Würselen;3
Blankenfelde-Mahlow;3
Unna;3
Straelen;3
Ravensburg;3
Haan;3
Bruckmühl;3
Landau in der Pfalz;3
Moers;3
Neunkirchen;3
Emsdetten;3
Wittlich;3
Reinbek;3
Langen (Hessen);3
Siegsdorf;3
Heppenheim;3
Raubling;3
Erftstadt;3
Brilon;3
Bad Rappenau;3
Stephanskirchen;3
Buchholz in der Nordheide;3
Pirna;3
Walsrode;3
Unterschleißheim;3
Dietzenbach;3
Weinheim;3
Gummersbach;3
Passau;3
Lingen (Ems);3
Schwäbisch Hall;3
Velbert;3
Hainburg;3
Eggenstein-Leopoldshafen;3
Schriesheim;3
Rodgau;3
Oberursel (Taunus);3
Ottobrunn;3
Wermelskirchen;3
Gelnhausen;3
Ganderkesee;3
Mainz-Kastel;3
Balingen;3
Olpe;3
Waghäusel;3
Ludwigsfelde;3
Crailsheim;3
Denkendorf;3
Schloß Holte-Stukenbrock;3
Rüsselsheim;3
Neustadt an der Weinstraße;3
Ingelheim am Rhein;3
Bad Kreuznach;3
Bremerhaven;3
Tutzing;3
Gauting;3
Vreden;3
Wolfenbüttel;3
Wismar;3
Valley;3
Dorsten;3
Schwandorf;3
Rheine;3
Neufahrn b.Freising;3
Sandhausen;3
Waldkirchen;3
Ehingen Donau;3
Buxtehude;3
Korschenbroich;3
Herzogenaurach;3
Brandenburg an der Havel;3
Ibbenbüren;3
Hohenbrunn;3
Kriftel;3
Zwickau;3
Albstadt;3
Burghausen;3
Göppingen;3
Gera;3
Neustadt;3
Weinsberg;3
Rastatt;3
Schmallenberg;3
Bad Salzuflen;3
Geretsried;3
Friedberg;3
Butzbach;3
Kabelsketal OT Dölbau;3
Bad Tölz;3
Bad Hersfeld;3
Landshut;3
Pfinztal;3
Friedrichsdorf;3
Sendenhorst;3
Büren;3
Overath;3
Neuenburg am Rhein;3
Gmund a.Tegernsee;3
Ammerbuch;3
Pfungstadt;3
Bernau bei Berlin;2
Bernau a.Chiemsee;2
Espelkamp;2
Hanau;2
Limbach-Oberfrohna;2
Gronau;2
Karlsbad;2
Wegberg;2
Bruchköbel;2
Denzlingen;2
Simmelsdorf;2
Gladbeck;2
Mörfelden-Walldorf;2
Gerlingen;2
Issum;2
Soest;2
Mainhausen;2
Wesseling;2
Kuppenheim;2
Erding;2
Backnang;2
Bad Oeynhausen;2
Kitzingen;2
Wülfrath;2
Heuchelheim;2
Grafing b.München;2
Jülich;2
Jesteburg;2
Saarburg;2
Werder (Havel);2
Baesweiler;2
Penzberg;2
Eberbach;2
Haibach;2
Überherrn;2
Seelze;2
Rutesheim;2
Menden;2
Pinneberg;2
Holzgerlingen;2
Achim;2
Lünen;2
Haldensleben;2
Eching;2
Marloffstein;2
Ammersbek;2
Bad Abbach;2
Bad Blankenburg;2
Neukirchen/Erzgeb;2
Flintbek;2
Bickenbach;2
Waldbronn;2
Lörrach;2
Schwetzingen;2
Höchstadt a.d.Aisch;2
Aschheim;2
Visselhövede;2
Bad Münstereifel;2
Klein-Winternheim;2
Frickenhausen;2
Garmisch-Partenkirchen;2
Mühlhausen;2
Furtwangen im Schwarzwald;2
Kamp-Lintfort;2
Freigericht;2
Gevelsberg;2
Herten;2
Glonn;2
Rain;2
Emden;2
Stutensee;2
Gescher;2
Schmalkalden;2
Gaimersheim;2
Glienicke/Nordbahn;2
Wangen im Allgäu;2
Vechta;2
Nahe;2
Ochtendung;2
Schwaig b. Nürnberg;2
Ahlen;2
Lindau (Bodensee);2
Dielheim;2
Schwarzenbruck;2
Mettenheim;2
Verl;2
Hambrücken;2
Ehningen;2
Speyer;2
Lahr;2
Eschwege;2
Kenzingen;2
Aurich;2
Lichtenau;2
Zorneding;2
Kümmersbruck;2
Büsum;2
Markkleeberg;2
Lich;2
Bovenden;2
Höhenkirchen-Siegertsbrunn;2
Kranenburg;2
Schönwalde-Glien;2
Rottendorf;2
Korntal-Münchingen;2
Garching;2
Wettenberg;2
Pliezhausen;2
Rellingen;2
Biberach an der Riß;2
Tegernsee;2
Stockach;2
Marbach am Neckar;2
Altdorf;2
Plankstadt;2
Bad Rothenfelde;2
Herne;2
Sachsenheim;2
Sulzfeld;2
Kiefersfelden;2
Hemmingen;2
Kirchheim b. München;2
Wenden;2
Feucht;2
Grünstadt;2
Dormagen;2
Cuxhaven;2
Schlier;2
Friedberg (Hessen);2
Salzgitter;2
Metzingen;2
Grassau;2
Lübs;2
Pocking;2
Spaichingen;2
Oberschleißheim;2
Kolbermoor;2
Emsbüren;2
Schöneck;2
Odenthal;2
Bad Schönborn;2
Kranzberg;2
Eichenau;2
Detmold;2
Schwarzenfeld;2
Bad Wiessee;2
Achstetten;2
Bad Nauheim;2
Euskirchen;2
Maintal;2
Mössingen;2
Zellingen;2
Bönningstedt;2
Bernau;2
Tegernheim;2
Altenstadt;2
Rödermark;2
Rheinzabern;2
Geestland;2
Bad Wörishofen;2
Bornheim;2
Aschau i.Chiemgau;2
Hörstel;2
Goch;2
Bad Wurzach;2
Türkheim;2
Radeberg;2
Lemgo;2
Waiblingen;2
Achern;2
Pullach i. Isartal;2
Krailling;2
Haimhausen;2
Reken;2
Telgte;2
Wendlingen am Neckar;2
Ratzeburg;2
Rohrdorf;2
Otterndorf;2
Ahrensburg;2
Bad Kissingen;2
Werne;2
Witzenhausen;2
Verden;2
Stadtlohn;2
Strausberg;2
Lichtenfels;2
Nittendorf;2
Wietmarschen;2
Illertissen;2
Bad Heilbrunn;2
Neubeuern;2
Kirchzarten;2
Eppstein;2
Handewitt;2
Harsefeld;2
Erkelenz;2
Fürstenfeldbruck;2
Marktoberdorf;2
Oelde;2
Frankfurt / Oder;2
Neuhausen auf den Fildern;2
Roßdorf;2
Bühl;2
Georgsmarienhütte;2
Stralsund;2
Rüdesheim am Rhein;2
Müllheim;2
Engelskirchen;2
Neuenstadt am Kocher;2
Tholey;2
Obersulm;2
Auetal;2
Hechingen;2
Enge-Sande;2
Empfingen;2
Ditzingen;2
Feldkirchen;2
Karlsdorf-Neuthard;2
Wernigerode;2
Filderstadt;2
Burgwedel;2
Roding;2
Neusäß;2
Korbach;2
Gauting-Stockdorf;2
Barleben;2
Wetzlar;2
Laatzen;2
Quakenbrück;2
Weinstadt;2
Olsberg;2
Hambühren;2
Schwelm;2
Überlingen;2
Henstedt-Ulzburg;2
Steinfurt;2
Engen;2
Taunusstein;2
Remscheid;2
Spremberg;2
Thuine;2
Neunkirchen-Seelscheid;2
Greiz;2
Mauer;2
Breisach am Rhein;2
Rückersdorf;2
Pirmasens;2
Dörpen;2
Haldenwang;2
Cham;2
Laupheim;2
Ennepetal;2
Garching b. München;1
Lam;1
Greifenberg;1
Eppishausen;1
Kappelrodeck;1
Langerringen;1
Burgwald;1
Bad Bellingen;1
Selfkant-Tüddern;1
Emmerich am Rhein;1
Schonach im Schwarzwald;1
Hausham;1
Xanten;1
Südliches Anhalt OT Gröbzig;1
Winhöring;1
Rielasingen-Worblingen;1
Haßfurt;1
Gaißach;1
Riethnordhausen;1
Kirchroth;1
Haag i.OB;1
Eberstadt;1
Ellhofen;1
Neuendettelsau;1
Meßkirch;1
Neunkirchen a. Sand;1
Tönisvorst;1
Gäufelden;1
Winterbach;1
Lilienthal;1
Hagen;1
Hohenmölsen;1
Crottendorf;1
Meckenbeuren;1
Schefflenz;1
Reinfeld (Holstein);1
Altlandsberg;1
Hoppstädten-Weiersbach;1
Buchholz;1
Stockelsdorf;1
Wiesloch;1
Borgholzhausen;1
Teisendorf;1
Hohenbrunn-Riemerling;1
Schaufling;1
Bad Lauterberg im Harz;1
Neumünster;1
Görlitz;1
Gotha;1
Wildberg;1
Königsfeld im Schwarzwald;1
Melle;1
Traunreut;1
Limburg-Eschhofen;1
Wohltorf;1
Bautzen;1
Schaafheim;1
Sankt Peter-Ording;1
Diepholz;1
Schönwald;1
Niederkirchen;1
Siek;1
Schwalbach am Taunus;1
Bergneustadt;1
Schramberg;1
Eggenfelden;1
Schonungen OT Hausen;1
Mengerskirchen;1
Osthofen;1
Scharbeutz;1
Ölbronn-Dürrn;1
Assamstadt;1
Radevormwald;1
Pfullingen;1
Ebersberg;1
Blomberg;1
Bad Kötzting;1
Lupburg;1
Ebersbach;1
Reichenbach an der Fils;1
Gammertingen;1
Bobenheim-Roxheim;1
Stauchitz/OT Panitz;1
Lütjensee;1
Immenstaad am Bodensee;1
Jersbek;1
Montabaur;1
Altötting;1
Flein;1
Wettstetten;1
Grafenrheinfeld;1
Bernried am Starnberger See;1
Cochem;1
Eurasburg;1
Aying;1
Seeshaupt;1
Üchtelhausen;1
Ketsch;1
Erzhausen;1
Deutsch Evern;1
Maxdorf;1
Gerstetten;1
Hagen im Bremischen;1
Wildeck-Bosserode;1
Niederfischbach;1
Kaltenkirchen;1
Hilchenbach;1
Nördlingen;1
Allensbach;1
Reinheim;1
Burrweiler;1
Jork;1
Möhrendorf;1
Deckenpfronn;1
63571 Gelnhauesn;1
Weidenstetten;1
Eltville am Rhein;1
Oppenheim;1
Anzing;1
Apfeldorf;1
Kapfelberg;1
Winterberg;1
Utting am Ammersee;1
Thurnau;1
Kirchheim;1
Halstenbek;1
Wörnitz;1
Osann-Monzel;1
Molzahn;1
Weingarten Baden;1
Gifhorn;1
Pleiskirchen;1
Nesselwang;1
Vechta-Spreda;1
Boksee;1
Aspach;1
Seligenstadt;1
Epfendorf;1
Schwaigern, OT Massenbach;1
Bad König;1
Bischofswiesen;1
Vaihingen an der Enz;1
Großschirma;1
Niederfell;1
Dornhan;1
Lennestadt;1
Asbach;1
Sailauf;1
Bad Doberan;1
Zeven;1
Versmold;1
Löhne;1
Korb;1
Borchen;1
Bad Waldsee;1
Karlsfeld;1
Freilassing;1
Kreuztal;1
Wiesbaum;1
Friedrichsthal;1
Wildeshausen;1
Hanstedt;1
Umkirch;1
Hardthausen am Kocher;1
Mering;1
Oppenweiler;1
Falkenberg/Elster;1
Dienheim;1
Berchtesgaden;1
Spelle;1
Burg;1
Kell am See;1
Raguhn-Jeßnitz OT Raguhn;1
St. Georgen im Schwarzwald;1
Elmshorn;1
Michendorf;1
Rottweil;1
Mainz-Kostheim;1
Bad Bramstedt;1
Wardenburg;1
Ayl;1
Trautskirchen;1
Grimma OT Großbardau;1
Hagen a.T.W;1
Hainewalde;1
Chieming;1
Ramsau b.Berchtesgaden;1
Flacht;1
Schweitenkirchen;1
Lingen;1
Sulzberg;1
Fürstenau;1
Jagstzell;1
Kösching;1
Wollbach;1
Obertshausen;1
Allershausen;1
Weil;1
Zetel;1
Sonthofen;1
Nienstädt;1
Oberstaufen;1
Renningen;1
Trebur-Astheim;1
Grefrath;1
Reute;1
Stockstadt am Rhein;1
Harrislee;1
