id,created_at,register,register_map,region
267,2024-02-21 09:27:55.549012+00,Weiden i. d. OPf.,185,bayern
287,2024-02-21 09:28:55.42208+00,Berlin,217,berlin
297,2024-02-21 09:28:55.42208+00,Cottbus,228,germany_east
309,2024-02-21 09:28:55.42208+00,Frankfurt/Oder,237,germany_east
364,2024-02-21 09:28:55.42208+00,Neuruppin,249,germany_east
271,2024-02-21 09:27:55.549012+00,Wuppertal,469,nrw
358,2024-02-21 09:28:55.42208+00,Moenchengladbach,462,nrw
302,2024-02-21 09:28:55.42208+00,Duisburg,446,nrw
336,2024-02-21 09:28:55.42208+00,Kleve,454,nrw
341,2024-02-21 09:28:55.42208+00,Krefeld,458,nrw
365,2024-02-21 09:28:55.42208+00,Neuss,442,nrw
344,2024-02-21 09:28:55.42208+00,Langenfeld,444,nrw
280,2024-02-21 09:28:55.42208+00,Aurich,418,germany_north
370,2024-02-21 09:28:55.42208+00,Oldenburg (Oldenburg),428,germany_north
371,2024-02-21 09:28:55.42208+00,Osnabrueck,439,germany_north
261,2024-02-21 09:27:55.549012+00,Tostedt,404,germany_north
265,2024-02-21 09:27:55.549012+00,Walsrode,417,germany_north
318,2024-02-21 09:28:55.42208+00,Guetersloh,482,nrw
277,2024-02-21 09:28:55.42208+00,Arnsberg,470,nrw
284,2024-02-21 09:28:55.42208+00,Bad Oeynhausen,487,nrw
290,2024-02-21 09:28:55.42208+00,Bochum,490,nrw
347,2024-02-21 09:28:55.42208+00,Lemgo,497,nrw
300,2024-02-21 09:28:55.42208+00,Dortmund,499,nrw
321,2024-02-21 09:28:55.42208+00,Hamm,500,nrw
306,2024-02-21 09:28:55.42208+00,Essen,507,nrw
319,2024-02-21 09:28:55.42208+00,Hagen,516,nrw
328,2024-02-21 09:28:55.42208+00,Iserlohn,517,nrw
256,2024-02-21 09:27:55.549012+00,Steinfurt,529,nrw
296,2024-02-21 09:28:55.42208+00,Coesfeld,530,nrw
361,2024-02-21 09:28:55.42208+00,Muenster,535,nrw
293,2024-02-21 09:28:55.42208+00,Bremen,258,germany_north
320,2024-02-21 09:28:55.42208+00,Hamburg,261,germany_north
298,2024-02-21 09:28:55.42208+00,Darmstadt,270,ba_wue
368,2024-02-21 09:28:55.42208+00,Offenbach am Main,279,ba_wue
308,2024-02-21 09:28:55.42208+00,Frankfurt am Main,281,ba_wue
313,2024-02-21 09:28:55.42208+00,Fulda,286,ba_wue
282,2024-02-21 09:28:55.42208+00,Bad Homburg v.d.H.,282,ba_wue
339,2024-02-21 09:28:55.42208+00,Koenigstein,283,ba_wue
322,2024-02-21 09:28:55.42208+00,Hanau,300,ba_wue
348,2024-02-21 09:28:55.42208+00,Limburg,320,ba_wue
311,2024-02-21 09:28:55.42208+00,Friedberg,296,ba_wue
316,2024-02-21 09:28:55.42208+00,Gießen,297,ba_wue
312,2024-02-21 09:28:55.42208+00,Fritzlar,306,ba_wue
305,2024-02-21 09:28:55.42208+00,Eschwege,305,ba_wue
268,2024-02-21 09:27:55.549012+00,Wetzlar,322,ba_wue
340,2024-02-21 09:28:55.42208+00,Korbach,309,ba_wue
355,2024-02-21 09:28:55.42208+00,Marburg,328,ba_wue
269,2024-02-21 09:27:55.549012+00,Wiesbaden,335,ba_wue
258,2024-02-21 09:27:55.549012+00,Stralsund,351,germany_east
292,2024-02-21 09:28:55.42208+00,Braunschweig,360,germany_north
255,2024-02-21 09:27:55.549012+00,Stadthagen,368,germany_north
323,2024-02-21 09:28:55.42208+00,Hannover,379,germany_north
324,2024-02-21 09:28:55.42208+00,Hildesheim,387,germany_north
274,2024-02-21 09:28:55.42208+00,Aachen,549,nrw
303,2024-02-21 09:28:55.42208+00,Dueren,550,nrw
291,2024-02-21 09:28:55.42208+00,Bonn,557,nrw
249,2024-02-21 09:27:55.549012+00,Siegburg,561,nrw
334,2024-02-21 09:28:55.42208+00,Kerpen,567,nrw
283,2024-02-21 09:28:55.42208+00,Bad Kreuznach,572,ba_wue
337,2024-02-21 09:28:55.42208+00,Koblenz,582,ba_wue
270,2024-02-21 09:27:55.549012+00,Wittlich,602,ba_wue
353,2024-02-21 09:28:55.42208+00,Mainz,593,ba_wue
351,2024-02-21 09:28:55.42208+00,Ludwigshafen a.Rhein (Ludwigshafen),606,ba_wue
350,2024-02-21 09:28:55.42208+00,Ludwigshafen,606,ba_wue
342,2024-02-21 09:28:55.42208+00,Landau,615,ba_wue
330,2024-02-21 09:28:55.42208+00,Kaiserslautern,609,ba_wue
301,2024-02-21 09:28:55.42208+00,Dresden,621,germany_east
346,2024-02-21 09:28:55.42208+00,Leipzig,649,germany_east
294,2024-02-21 09:28:55.42208+00,Chemnitz,634,germany_east
326,2024-02-21 09:28:55.42208+00,Homburg,654,ba_wue
357,2024-02-21 09:28:55.42208+00,Merzig,656,ba_wue
363,2024-02-21 09:28:55.42208+00,Neunkirchen,657,ba_wue
372,2024-02-21 09:28:55.42208+00,Ottweiler,658,ba_wue
251,2024-02-21 09:27:55.549012+00,St. Ingbert,661,ba_wue
253,2024-02-21 09:27:55.549012+00,St. Wendel,662,ba_wue
254,2024-02-21 09:27:55.549012+00,St. Wendel (St Wendel),662,ba_wue
264,2024-02-21 09:27:55.549012+00,Voelklingen,664,ba_wue
257,2024-02-21 09:27:55.549012+00,Stendal,691,germany_east
307,2024-02-21 09:28:55.42208+00,Flensburg,695,germany_north
349,2024-02-21 09:28:55.42208+00,Luebeck,716,germany_north
329,2024-02-21 09:28:55.42208+00,Jena,739,ba_wue
413,2024-03-07 18:09:29.6626+00,Freiburg i. Br.,8,ba_wue
37,2024-02-21 09:19:16.750648+00,Freiburg,8,ba_wue
310,2024-02-21 09:28:55.42208+00,Freiburg,8,ba_wue
218,2024-02-21 09:27:55.549012+00,Mannheim,33,ba_wue
260,2024-02-21 09:27:55.549012+00,Stuttgart,95,ba_wue
396,2024-02-21 09:28:55.42208+00,Stuttgart,95,ba_wue
399,2024-02-21 09:28:55.42208+00,Ulm,109,ba_wue
6,2024-02-21 09:19:16.750648+00,Augsburg,111,bayern
143,2024-02-21 09:27:55.549012+00,Augsburg,111,bayern
343,2024-02-21 09:28:55.42208+00,Landshut,127,bayern
87,2024-02-21 09:19:16.750648+00,München,136,bayern
184,2024-02-21 09:27:55.549012+00,Hamburg,261,germany_north
238,2024-02-21 09:27:55.549012+00,Passau,146,bayern
398,2024-02-21 09:28:55.42208+00,Traunstein,155,bayern
367,2024-02-21 09:28:55.42208+00,Offenbach,279,ba_wue
374,2024-02-21 09:28:55.42208+00,Passau,146,bayern
230,2024-02-21 09:27:55.549012+00,Nuernberg,172,bayern
366,2024-02-21 09:28:55.42208+00,Nuernberg,172,bayern
105,2024-02-21 09:19:16.750648+00,Regensburg,177,bayern
378,2024-02-21 09:28:55.42208+00,Regensburg,177,bayern
395,2024-02-21 09:28:55.42208+00,Straubing,179,bayern
383,2024-02-21 09:28:55.42208+00,Schweinfurt,207,bayern
95,2024-02-21 09:19:16.750648+00,Offenbach am Main,279,ba_wue
135,2024-02-21 09:19:16.750648+00,Würzburg,211,bayern
110,2024-02-21 09:19:16.750648+00,Schweinfurt,207,bayern
408,2024-02-21 09:28:55.42208+00,Wuerzburg,211,bayern
272,2024-02-21 09:27:55.549012+00,Wuerzburg,211,bayern
412,2024-02-21 09:37:40.850962+00,Weiden i. d. OPf (Weiden),185,bayern
403,2024-02-21 09:28:55.42208+00,Weiden i. d. OPf.,185,bayern
402,2024-02-21 09:28:55.42208+00,Weiden,185,bayern
152,2024-02-21 09:27:55.549012+00,Berlin (Charlottenburg),217,berlin
288,2024-02-21 09:28:55.42208+00,Berlin (Charlottenburg),217,berlin
36,2024-02-21 09:19:16.750648+00,Frankfurt/Oder,237,germany_east
376,2024-02-21 09:28:55.42208+00,Potsdam,252,germany_east
228,2024-02-21 09:27:55.549012+00,Neuruppin,249,germany_east
304,2024-02-21 09:28:55.42208+00,Duesseldorf,441,nrw
407,2024-02-21 09:28:55.42208+00,Wuppertal,469,nrw
29,2024-02-21 09:19:16.750648+00,Duisburg,446,nrw
168,2024-02-21 09:27:55.549012+00,Duesseldorf,441,nrw
369,2024-02-21 09:28:55.42208+00,Oldenburg,428,germany_north
97,2024-02-21 09:19:16.750648+00,Oldenburg (Oldenburg),428,germany_north
144,2024-02-21 09:27:55.549012+00,Aurich,418,germany_north
352,2024-02-21 09:28:55.42208+00,Lueneburg,394,germany_north
397,2024-02-21 09:28:55.42208+00,Tostedt,404,germany_north
401,2024-02-21 09:28:55.42208+00,Walsrode,417,germany_north
45,2024-02-21 09:19:16.750648+00,Gütersloh,482,nrw
153,2024-02-21 09:27:55.549012+00,Bielefeld,480,nrw
289,2024-02-21 09:28:55.42208+00,Bielefeld,480,nrw
377,2024-02-21 09:28:55.42208+00,Recklinghausen,492,nrw
74,2024-02-21 09:19:16.750648+00,Lemgo,497,nrw
164,2024-02-21 09:27:55.549012+00,Dortmund,499,nrw
315,2024-02-21 09:28:55.42208+00,Gelsenkirchen,510,nrw
55,2024-02-21 09:19:16.750648+00,Iserlohn,517,nrw
392,2024-02-21 09:28:55.42208+00,Steinfurt,529,nrw
160,2024-02-21 09:27:55.549012+00,Coesfeld,530,nrw
373,2024-02-21 09:28:55.42208+00,Paderborn,543,nrw
386,2024-02-21 09:28:55.42208+00,Siegen,548,nrw
250,2024-02-21 09:27:55.549012+00,Siegen,548,nrw
20,2024-02-21 09:19:16.750648+00,Bremen,258,germany_north
410,2024-02-21 09:30:02.997279+00,Bad Homburg,282,ba_wue
172,2024-02-21 09:27:55.549012+00,Frankfurt am Main,281,ba_wue
281,2024-02-21 09:28:55.42208+00,Bad Hersfeld,290,ba_wue
49,2024-02-21 09:19:16.750648+00,Hanau,300,ba_wue
169,2024-02-21 09:27:55.549012+00,Eschwege,305,ba_wue
331,2024-02-21 09:28:55.42208+00,Kassel,308,ba_wue
411,2024-02-21 09:30:46.871653+00,Limburg a. d. Lahn,320,ba_wue
82,2024-02-21 09:19:16.750648+00,Marburg,328,ba_wue
404,2024-02-21 09:28:55.42208+00,Wetzlar,322,ba_wue
132,2024-02-21 09:19:16.750648+00,Wiesbaden,335,ba_wue
405,2024-02-21 09:28:55.42208+00,Wiesbaden,335,ba_wue
362,2024-02-21 09:28:55.42208+00,Neubrandenburg,339,germany_east
379,2024-02-21 09:28:55.42208+00,Rostock,349,germany_east
121,2024-02-21 09:19:16.750648+00,Stralsund,351,germany_east
384,2024-02-21 09:28:55.42208+00,Schwerin,358,germany_east
394,2024-02-21 09:28:55.42208+00,Stralsund,351,germany_east
156,2024-02-21 09:27:55.549012+00,Braunschweig,360,germany_north
391,2024-02-21 09:28:55.42208+00,Stadthagen,368,germany_north
50,2024-02-21 09:19:16.750648+00,Hannover,379,germany_north
317,2024-02-21 09:28:55.42208+00,Goettingen,372,germany_north
382,2024-02-21 09:28:55.42208+00,Schleiden,553,nrw
246,2024-02-21 09:27:55.549012+00,Schleiden,553,nrw
338,2024-02-21 09:28:55.42208+00,Koeln,568,nrw
65,2024-02-21 09:19:16.750648+00,Köln,568,nrw
385,2024-02-21 09:28:55.42208+00,Siegburg,561,nrw
359,2024-02-21 09:28:55.42208+00,Montabaur,586,ba_wue
86,2024-02-21 09:19:16.750648+00,Montabaur,586,ba_wue
133,2024-02-21 09:19:16.750648+00,Wittlich,602,ba_wue
406,2024-02-21 09:28:55.42208+00,Wittlich,602,ba_wue
409,2024-02-21 09:28:55.42208+00,Zweibruecken,618,ba_wue
136,2024-02-21 09:19:16.750648+00,Zweibrücken,618,ba_wue
273,2024-02-21 09:27:55.549012+00,Zweibruecken,618,ba_wue
28,2024-02-21 09:19:16.750648+00,Dresden,621,germany_east
345,2024-02-21 09:28:55.42208+00,Lebach,655,ba_wue
72,2024-02-21 09:19:16.750648+00,Lebach,655,ba_wue
209,2024-02-21 09:27:55.549012+00,Lebach,655,ba_wue
380,2024-02-21 09:28:55.42208+00,Saarbruecken,659,ba_wue
381,2024-02-21 09:28:55.42208+00,Saarlouis,660,ba_wue
387,2024-02-21 09:28:55.42208+00,St. Ingbert,661,ba_wue
245,2024-02-21 09:27:55.549012+00,Saarlouis,660,ba_wue
389,2024-02-21 09:28:55.42208+00,St. Wendel,662,ba_wue
390,2024-02-21 09:28:55.42208+00,St. Wendel (St Wendel),662,ba_wue
400,2024-02-21 09:28:55.42208+00,Voelklingen,664,ba_wue
375,2024-02-21 09:28:55.42208+00,Pinneberg,703,germany_north
388,2024-02-21 09:28:55.42208+00,St. Ingbert (St Ingbert),661,ba_wue
252,2024-02-21 09:27:55.549012+00,St. Ingbert (St Ingbert),661,ba_wue
115,2024-02-21 09:19:16.750648+00,St. Ingbert (St Ingbert),661,ba_wue
393,2024-02-21 09:28:55.42208+00,Stendal,691,germany_east
102,2024-02-21 09:19:16.750648+00,Pinneberg,703,germany_north
335,2024-02-21 09:28:55.42208+00,Kiel,706,germany_north
213,2024-02-21 09:27:55.549012+00,Luebeck,716,germany_north
414,2024-03-10 17:42:08.195846+00,Charlottenburg,217,berlin
415,2024-03-10 17:43:02.469376+00,Bad Homburg v. d. Höhe,282,ba_wue
416,2024-03-11 08:32:23.658936+00,Berlin- Charlottenburg,217,berlin
417,2024-03-11 08:34:51.942267+00,Ludwigshafen am Rhein,606,ba_wue
418,2024-03-11 08:35:13.514417+00,Ludwigshafen a.Rhein (Ludwigshafen),606,ba_wue
419,2024-03-11 08:36:18.509452+00,K\u00f6ln,568,nrw
420,2024-03-11 08:37:58.893653+00,Freiburg im Breisgau,8,ba_wue
421,2024-03-11 08:38:37.17687+00,Bad Homburg v.d. Höhe,282,ba_wue
422,2024-03-11 08:39:25.427366+00,Mnchen,136,bayern
423,2024-03-11 08:39:50.14591+00,M\u00fcnchen,136,bayern
425,2024-03-11 08:41:15.310252+00,Limburg a.d. Lahn,320,ba_wue
424,2024-03-11 08:40:45.35012+00,Limburg an der Lahn,320,ba_wue
426,2024-03-11 08:43:26.728854+00,Frankfurt (Oder),237,germany_east
427,2024-03-11 08:45:59.279205+00,Weiden i.d.Opf.,185,bayern
428,2024-03-11 08:49:21.631061+00,Frankfurt,281,ba_wue
429,2024-03-11 08:51:56.665014+00,Ludwigshafen a. Rhein,606,ba_wue
430,2024-03-11 08:53:21.447614+00,Königstein im Taunus,283,
431,2024-03-11 08:54:47.578616+00,Munich,136,bayern
432,2024-03-11 08:55:45.875861+00,Berlin-Charlottenburg,217,berlin
433,2024-03-11 08:56:04.86113+00,Frankfurt a.M.,281,ba_wue
434,2024-03-11 08:57:48.879733+00,Koln,568,nrw
435,2024-03-11 08:58:19.519244+00,Freiburg i.Br.,8,ba_wue
436,2024-03-11 08:58:59.104492+00,Berlin-Charlottenburg,217,berlin
437,2024-03-11 09:00:06.886053+00,Frankfurt/Main,281,ba_wue
438,2024-03-11 09:00:38.160432+00,Offenbach/Main,279,ba_wue
439,2024-03-11 09:05:57.855661+00,Bad Homburg v.d.Höhe,282,ba_wue
440,2024-03-11 09:19:32.810376+00,Berlin Charlottenburg,217,berlin