company;counts;Industry
The Exploration Company;51;
Yababa GmbH_Berlin (Charlottenburg);43;
Friday Finance GmbH_Berlin (Charlottenburg);31;
Mondu GmbH_Berlin (Charlottenburg);29;
cureVision;28;
Unstoppable Finance GmbH_Berlin (Charlottenburg);26;
x-cardiac GmbH_Berlin (Charlottenburg);23;
Edurino;23;
Predium;22;
Voltfang GmbH_Aachen;22;
Penzilla GmbH;21;
Urbyo GmbH_Berlin (Charlottenburg);21;
Atlas Metrics GmbH_Berlin (Charlottenburg);21;
Entrix;21;
Tanso;20;
The Landbanking Group;20;
Zavvy;20;
Packmatic GmbH_Berlin (Charlottenburg);19;
Tidely;19;
Hopper Mobility GmbH_Augsburg;17;
Circula GmbH_Berlin (Charlottenburg);16;
Homenergy;16;
Capreolos GmbH_Frankfurt am Main;15;
Sub Capitals GmbH_München;14;
MicroHarvest GmbH_Hamburg;14;
Reverion;14;
TreasureHunter;14;
Buycycle;13;
Freshflow GmbH_Berlin (Charlottenburg);13;
SQUAKE.earth GmbH_Berlin (Charlottenburg);12;
Brainamics;12;
FinanzRitter GmbH_Iserlohn;11;
Noyes Technologies GmbH_München;11;
Finanzchef24 GmbH_München;10;
Onstruc UG (haftungsbeschränkt)_Berlin (Charlottenburg);10;
oculai;10;
Hivebuy GmbH_Berlin (Charlottenburg);10;
planqc;9;
MARA Solutions GmbH_Mannheim;9;
Floy;9;
REFLEX aerospace GmbH_München;8;
Payla Services GmbH_München;8;
igetnow GmbH_Kiel;8;
Fusion Bionic GmbH_Dresden;7;
Beautinda GmbH_Essen;7;
sqior medical;7;
Garentii;6;
Dealcode GmbH_Hamburg;6;
PINSL;6;
Kipu Quantum;6;
Casculate GmbH_Kaiserslautern;6;
Elixion Medical GmbH_Düsseldorf;6;
SOLAR MATERIALS GmbH_Stendal;6;
Triviar Education GmbH_Hamburg;6;
truckOs;6;
bitsCrunch GmbH_München;5;
bitsCrunch;5;
comstruct;5;
Vaeridion;5;
Engity GmbH;5;
agrantis;5;
smartbax;5;
Briink Intelligence GmbH_Berlin (Charlottenburg);5;
Elona Health GmbH_Düsseldorf;5;
eleva GmbH_Stuttgart;4;
flowplace GmbH_Leipzig;4;
fija Finance GmbH;4;
LODGEA GmbH_München;4;
tozero;4;
Spreadly;4;
Carbon Atlantis;4;
Fusix Biotech;4;
DriotData;3;
Sizekick;3;
Tupu Farming Solutions GmbH_Berlin (Charlottenburg);3;
ExoMatter;3;
greenforce Beteiligungsgesellschaft mbH_Bad Oeynhausen;3;
CargoKite;3;
OmicsChart;3;
ACTIMI GmbH_Stuttgart;3;
Additive Scale GmbH_München;3;
Hoaly Foods GmbH_München;3;
spiritory;3;
Countercheck GmbH_Berlin (Charlottenburg);3;
HospiChef;3;
Twinu;3;
Capabox GmbH_Berlin (Charlottenburg);3;
CYCLE Sport-Handels-GmbH_Stuttgart;3;
Coinformation GmbH_Düsseldorf;3;
azuma healthtech;3;
Tenhil;2;
VEGA;2;
MAIT GmbH_Offenbach am Main;2;
Milkly GmbH_Hamburg;2;
MIL-KABEL-SYSTEMS GmbH_Ulm;2;
Beamer & more GmbH_Stuttgart;2;
Mily Technologies;2;
onyo;2;
Orbit Health;2;
Recunited GmbH_Berlin (Charlottenburg);2;
dstack;2;
allO;2;
NoMaze;2;
Charge & More Entwicklungs- und Servicegesellschaft für Elektromobilität UG (haftungsbeschränkt)_Berlin (Charlottenburg);2;
CyberDesk;2;
bliro;2;
Upminster GmbH_Frankfurt am Main;2;
iotis GmbH_Hannover;2;
touch smoke GmbH_Ulm;2;
GRID Invest GmbH_Hamburg;2;
The Bitery;2;
Elopage GmbH_Berlin (Charlottenburg);1;
Helsing Germany GmbH_München;1;
Rivus Capital;1;
Atheneum Partners GmbH_Berlin (Charlottenburg);1;
Plasser Robel Services;1;
Turn2x;1;
Rivada Space Networks;1;
Lamin Labs;1;
GSG GENII Software Group;1;
skailark;1;
aborise;1;
Deutsche Plasser;1;
TDF Labs;1;
Planet A Foods;1;
Event Management Gesellschaft für Freizeit- & Veranstaltungsorganisation GmbH_Freiburg;1;
Software Defined Automation;1;
Orthogonal;1;
ZenML;1;
alfatier GmbH_Hamburg;1;
Software Defined Automation GmbH_München;1;
BUILD & CODE GmbH_Potsdam;1;
RAMPmedical GmbH_Berlin (Charlottenburg);1;
Cryptoticker.io GmbH_Berlin (Charlottenburg);1;
ZenML GmbH_München;1;